"Cell_Line","Lineage","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"293T","Non-hematopoietic",-0.194083012538942,0.388549468971039,0.512353334280189,0.213916600347188,0.0797821357469724,-0.0525430934382162,-0.0756955198680246,-0.136418209300709,0.0714695145192299
"A549","Non-hematopoietic",0.0183395229362931,0.374390506291664,0.0531211023624969,0.443119397484488,0.169575421743141,-0.138755585399661,0.0297901549909074,0.218275175531354,0.000566355037054697
"AML2","Hematopoietic",-0.539804028056045,-0.278958756559179,0.0139045425513108,-0.536233557135142,-0.238780620325911,-0.201273017917322,-0.0933082910817592,0.0867109702027446,0.0263425701359912
"AML3","Hematopoietic",-0.892931380506523,0.316419866719065,-0.392720713909902,-0.0798826598835367,0.206133889227539,-0.0761674103032194,-0.0164061273861906,-0.0353149819392781,-0.00763220699884232
"DiFi","Non-hematopoietic",0.341169731982471,-0.0254392287377823,-0.549342176371058,-0.0343459968975307,0.108178309110639,0.285914781144846,-0.100611683739885,0.0331672366758711,0.0971402810794153
"HeLa","Non-hematopoietic",0.775014207377033,-0.30978376883642,0.385117927782224,0.0121685200716461,-0.224187912130525,0.097816691579005,-0.0142793628472442,0.0821804951474414,0.0524590915630108
"Huh7","Non-hematopoietic",-0.121506763795919,-0.272867211997625,-0.479517519189369,0.35368686789301,-0.279321979220089,-0.108499033162787,0.0624440117665139,-0.0702282081035847,0.0210705353663062
"Jeko1","Hematopoietic",-0.689095515357793,0.122405019357445,0.249338960518843,-0.104280605539086,-0.0783948413884945,0.147955244898208,0.284424912178562,-0.0206561411941903,0.0561617930707617
"Jurkat","Hematopoietic",0.417822640199731,0.817015035887004,-0.115869815258319,-0.117115185371644,-0.26839965413001,-0.00393264201099739,0.00790903704790647,-0.019679408381274,-0.0219540014180384
"LN308","Non-hematopoietic",0.702706014320962,-0.311164556230057,-0.127581386835271,-0.0272464464767543,0.040199623678682,-0.0233267184613883,0.179553089245658,-0.0266166382394236,-0.133513280934619
"LPS853","Non-hematopoietic",0.796303075365443,-0.196809208229012,0.0372528155752789,0.0660369031661342,0.0444382109901588,-0.137252196466778,-0.108977494866139,-0.103505039082132,0.0120100693276345
"Molm13","Hematopoietic",0.525489011309477,0.258189105076624,0.0998963261840594,-0.399521212049801,0.340845810373276,0.0016965884701056,0.0156924011232941,-0.00631696819445432,-0.0335609052425747
"Nalm6","Hematopoietic",-0.686294503543542,0.00359845197247665,0.188670077506944,0.143839902739155,-0.133396847057879,0.206040335935934,-0.173701897997497,0.00444999486291141,-0.154836691680619
"U937","Hematopoietic",-0.453128999692646,-0.885544723685243,0.125376524802573,0.0658574716518756,0.233328453382491,0.00232605513225499,0.00316677143389447,-0.00604827798527373,0.0142768761752838
